[SHEET]	Calculo Para Teravolta
row	Naturgy	2020	2021	2022	2023	2024	2025	Unnamed: 7	Unnamed: 8	AES	2020.1	2021.1	2022.1	2023.1	2024.1	2025.1	Unnamed: 16	Unnamed: 17	Gran Cliente (AES+Naturgy)	2020.2	2021.2	2022.2	2023.2	2024.2	2025.2	Acumulado
1	2020-01-01 00:00:00	43933.695569999996	107078.63345	82819.17546	82621.39112	71146.82432000001	72360.85543	nan	nan	2020-01-01 00:00:00	65463.139999975705	142762.7999930436	92458.43999999999	82771.3499764852	73457.74999569406	77629.58003242662	nan	nan	2020-01-01 00:00:00	109396.8355699757	249841.43344304358	175277.61546	165392.7410964852	144604.57431569407	149990.43546242663	nan
2	2020-02-01 00:00:00	43946.959520000004	104725.79665999999	90170.85111	61626.557	69308.77308	72803.95232000001	nan	nan	2020-02-01 00:00:00	53866.07999529336	140434.8499999241	98857.01999999987	73415.889997668	71506.29003143961	71101.8299926808	nan	nan	2020-02-01 00:00:00	97813.03951529336	245160.6466599241	189027.8711099999	135042.446997668	140815.0631114396	143905.7823126808	nan
3	2020-03-01 00:00:00	2754.0113300000003	92750.40215000001	91245.61717	58298.93016	108910.79023	73748.5322	nan	nan	2020-03-01 00:00:00	54484.36999974313	106468.47000183699	109278.39999126972	64969.7800101012	98091.47999450724	72111.85999528899	nan	nan	2020-03-01 00:00:00	57238.38132974313	199218.872151837	200524.01716126973	123268.7101701012	207002.27022450726	145860.392195289	nan
4	2020-04-01 00:00:00	44661.33905	64153.73356	63532.90197	86892.64026	104084.46857	108381.038	nan	nan	2020-04-01 00:00:00	57996.23000008351	82955.8099969275	81804.670024002	80581.1899988235	85900.61997752669	89318.799994595	nan	nan	2020-04-01 00:00:00	102657.56905008352	147109.5435569275	145337.571994002	167473.8302588235	189985.08854752668	197699.837994595	nan
5	2020-05-01 00:00:00	41212.66618	93913.4216	64250.24417	88100.06124	69614.81940000001	73512.63176	nan	nan	2020-05-01 00:00:00	48187.989998859586	110496.11999634557	85753.8299983405	83628.09999071178	70712.81999946201	74599.4600214578	nan	nan	2020-05-01 00:00:00	89400.65617885959	204409.54159634557	150004.0741683405	171728.1612307118	140327.63939946203	148112.0917814578	nan
6	2020-06-01 00:00:00	42510.35399	106179.65621000002	61685.416690000005	60891.81732	73277.23478000001	74810.23156	nan	nan	2020-06-01 00:00:00	52230.4899935784	147335.109966635	80247.526	72708.04999475222	78708.53999124817	77212.0399994967	nan	nan	2020-06-01 00:00:00	94740.84398357841	253514.76617663502	141932.94269	133599.86731475222	151985.77477124817	152022.2715594967	nan
7	2020-07-01 00:00:00	46695.38991	105458.29061	61783.68499000001	86799.01636000001	73109.74718	nan	nan	nan	2020-07-01 00:00:00	57767.9899970109	144641.18998435952	82869.2369924	81973.550045135	78948.34000110939	nan	nan	nan	2020-07-01 00:00:00	104463.37990701091	250099.4805943595	144652.9219824	168772.566405135	152058.0871811094	0	nan
8	2020-08-01 00:00:00	44688.738150000005	106978.77660000001	62651.00392	83463.25822	73404.05867999999	nan	nan	nan	2020-08-01 00:00:00	60419.4896966366	149160.39999774663	85997.0400149218	77166.83028537578	81137.6899625164	nan	nan	nan	2020-08-01 00:00:00	105108.22784663661	256139.17659774664	148648.0439349218	160630.08850537578	154541.74864251638	0	nan
9	2020-09-01 00:00:00	44016.762200000005	105355.7732	64466.164800000006	89929.77788000001	74045.62374000001	nan	nan	nan	2020-09-01 00:00:00	54772.909998238494	146802.00998478083	87399.460032546	91803.81999268338	80804.7299990042	nan	nan	nan	2020-09-01 00:00:00	98789.67219823849	252157.78318478083	151865.62483254602	181733.59787268337	154850.3537390042	0	nan
10	2020-10-01 00:00:00	72406.87574999999	103751.34382	65076.26944	89193.39791999999	103136.86071	nan	nan	nan	2020-10-01 00:00:00	59078.8199999405	142989.02994782402	88466.8499567808	90734.5100427896	84910.1399984729	nan	nan	nan	2020-10-01 00:00:00	131485.6957499405	246740.37376782403	153543.1193967808	179927.90796278958	188047.00070847291	0	nan
11	2020-11-01 00:00:00	94193.4016	99073.17652000001	64011.824400000005	115330.41256	72881.74489999999	nan	nan	nan	2020-11-01 00:00:00	107370.85999996633	127650.33999911281	87210.54000000001	114200.8699971952	78850.25004726	nan	nan	nan	2020-11-01 00:00:00	201564.26159996632	226723.5165191128	151222.36440000002	229531.2825571952	151731.99494725998	0	nan
12	2020-12-01 00:00:00	95590.7301	62047.30096	62674.69664	72253.76712	78498.16948999999	nan	nan	nan	2020-12-01 00:00:00	111337.7799999337	78287.25004004402	83936.51999137398	76268.92999995283	76820.82004270451	nan	nan	nan	2020-12-01 00:00:00	206928.51009993372	140334.551000044	146611.21663137397	148522.69711995282	155318.9895327045	0	nan
13	Total 	616610.92335	1151466.30534	834367.8507600001	975401.02716	971419.1150800001	475617.24127	nan	nan	Total 	782976.1496792602	1519983.3799085808	1064279.5330016345	990222.8703316737	959849.470040945	461973.5700359459	nan	nan	Total Gran Cliente	1399587.0730292604	2671449.6852485808	1898647.383761635	1965623.8974916737	1931268.585120945	937590.811305946	10804167.43595804
16	Cliente Regulado	2020.0	2021.0	2022.0	2023.0	2024.0	2025.0	Acumulado	nan	Ahorro Diferencia	2020.0	2021.0	2022.0	2023.0	2024.0	2025.0	Acumulado	nan	nan	nan	nan	nan	nan	nan	nan	nan
